Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2020-01-02,101.91886901855469,102.29517605336912,101.42967107451864,101.60276726539794,3293436
2020-01-03,101.10604095458984,101.4973992760939,100.51899746622077,100.52652312577948,2482890
2020-01-06,100.92542266845703,101.03078191225406,100.24806519513923,100.41364173333307,2537073
2020-01-07,100.99312591552734,101.5726436747487,100.39856885122046,100.6168249644402,3232977
2020-01-08,101.83606719970703,102.25000848659135,100.78993450285648,101.23397842656415,4545916
2020-01-09,102.91230010986328,102.94993441111887,101.83606480153404,102.1596861581019,3902208
2020-01-10,102.8746566772461,103.76274442491908,102.58866964731861,103.10797010476126,3405148
2020-01-13,102.80693054199219,102.83704519082114,101.65543862466352,101.96400866818885,3693426
2020-01-14,102.21990966796875,103.21336891034458,102.01671083182987,102.5661140695033,3850326
2020-01-15,102.82198333740234,103.90573820521888,102.13709436982907,102.35535648118038,4232011
2020-01-16,103.84553527832031,104.00358011397039,103.11550435624099,103.34880577738531,4519661
2020-01-17,104.09392547607422,104.10897679685259,102.47580638846823,102.76179349548443,5881972
2020-01-21,104.74114227294922,104.87661613850992,103.55953580605711,103.71759265328602,7577329
2020-01-22,108.29348754882812,109.72345900595944,107.2849890763861,107.86450692269241,17228038
2020-01-23,107.52584075927734,108.68486451021552,106.98395718502826,108.52680762675097,5918059
2020-01-24,105.78728485107422,108.3160625107585,105.71202825878989,107.91718455331336,5836889
2020-01-27,104.32723236083984,105.41853125330331,103.93587397586633,104.2369244314896,4358264
2020-01-28,105.02715301513672,105.71956180404067,104.42506416106794,104.98953072016349,3610374
2020-01-29,103.62730407714844,105.04974405902814,103.55956712388351,104.74117394810963,3194275
2020-01-30,102.9349136352539,103.08542686048541,101.58021052256956,102.92738196787799,5290563
2020-01-31,108.1730728149414,108.41390593101625,105.96038477661857,107.5484010340426,19868352
2020-02-03,110.08470916748047,110.84484281044544,108.30101377171768,108.5644298693248,9295488
2020-02-04,112.22213745117188,112.42533627736613,110.54381316657692,111.22115860352665,5879566
2020-02-05,117.65599060058594,118.49139284695771,113.00484480934855,113.0499987656381,15048593
2020-02-06,117.97960662841797,119.47731488143309,116.97110825583702,118.02477259488735,8786923
2020-02-07,116.66398620605469,118.28379304547921,116.29134797553779,117.53091841069525,6718876
2020-02-10,117.439697265625,117.44729544130097,115.27234799820778,116.32940474172887,5480831
2020-02-11,116.7172622680664,118.04047375958604,116.1469013959272,117.96443130754305,4011515
2020-02-12,118.10887145996094,118.32941269040982,116.74763321038232,116.9225368499403,4641939
2020-02-13,117.34841918945312,117.74386412854395,116.66400085840792,117.3940567883169,3996452
2020-02-14,114.6031265258789,117.53854667459873,113.89588937620553,117.43207512457239,6379763
2020-02-18,114.90730285644531,115.12023380854143,113.7970226357282,113.91109235514901,3496778
2020-02-19,114.72478485107422,115.50807651044039,114.30653327376461,115.24190979524776,2858613
2020-02-20,114.99856567382812,115.30274754576048,113.69816116502604,114.68677348970942,3013003
2020-02-21,113.94911193847656,114.86168186702245,113.1886390209649,114.86168186702245,3699597
2020-02-24,111.35587310791016,112.58784523740256,110.55738524080878,110.65624645257938,5703210
2020-02-25,107.76646423339844,111.84259315326925,107.42425511029313,111.41673129282827,6497229
2020-02-26,106.27593994140625,109.55358104174476,106.16187022902774,108.67142817667155,5656663
2020-02-27,101.22640991210938,105.46984459958118,101.15036748094481,104.36716259057272,8808471
2020-02-28,98.97541046142578,99.6902578368023,96.09322643795758,98.84613226471747,13607832
2020-03-02,102.13137817382812,102.23784972419871,97.30238601034904,99.431707778824,8923844
2020-03-03,98.02482604980469,103.50021469450378,97.18830471575828,102.2682545252574,8259321
2020-03-04,102.07052612304688,102.1161515775463,98.10086275961862,100.06288474849741,5226234
2020-03-05,98.51913452148438,100.60282456002288,97.68261316755517,99.24158009214608,5696725
2020-03-06,97.13509368896484,97.5913787209259,94.69397938842685,96.35180792424958,8570192
2020-03-09,89.5912094116211,93.0893802563496,89.18815412085574,91.37831605536405,11252345
2020-03-10,94.88407135009766,94.96772408850978,88.03221780011152,93.37073602247695,11935592
2020-03-11,89.71288299560547,93.21865806924211,88.50372926627023,92.02471889722187,8835039
2020-03-12,78.1841049194336,83.49980396101901,77.78105581068763,83.38573426008713,13088284
2020-03-13,82.09294891357422,83.01312313375853,76.6631787965705,82.64809514331087,13077197
2020-03-16,75.34757232666016,81.6823026658209,72.24484627175195,74.5262592756859,11054128
2020-03-17,81.10433197021484,81.67468665624921,73.84182413107227,76.5110835762067,9684182
2020-03-18,78.74687194824219,81.31726412620465,75.5909105195189,75.59851476327152,9176035
2020-03-19,76.30577087402344,78.85335075111692,74.70877624606858,77.81910666890644,8782739
2020-03-20,72.54141998291016,76.80006347425845,72.02429499944402,76.7468276996432,11031639
2020-03-23,72.0699234008789,74.32852325992938,68.86833667770674,71.9406451950409,10176952
2020-03-24,80.21459197998047,80.64045395829835,75.48445440615289,76.03960068196984,8340699
2020-03-25,80.49596405029297,85.53789366335789,78.19933659107379,80.21458880118682,9052084
2020-03-26,85.84968566894531,86.04740816036686,80.2830328628099,81.30206229741934,7482561
